Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray8Pink2Violet3,188,190,158,160,161,165,0.369,0.372,0.309,0.313,0.316,0.321
Gray8Pink3Violet5,146,148,114,116,128,130,0.375,0.377,0.292,0.296,0.329,0.331
Gray8Pink5Violet1,177,179,144,146,140,142,0.381,0.387,0.311,0.314,0.302,0.305
Gray6Pink3Violet1,212,214,169,171,177,179,0.377,0.382,0.302,0.304,0.316,0.319
Gray7Pink4Violet1,196,198,154,159,154,159,0.384,0.389,0.306,0.308,0.306,0.308
Gray6Pink3Violet1,205,207,160,162,164,166,0.385,0.39,0.301,0.304,0.309,0.311
Gray7Pink4Violet1,198,200,157,159,159,161,0.382,0.388,0.304,0.307,0.308,0.311
Gray14Pink4Violet1,115,117,82,84,77,79,0.418,0.42,0.299,0.3,0.281,0.282
Gray14Pink4Violet1,110,112,79,81,74,76,0.416,0.418,0.3,0.301,0.281,0.283
Gray8Pink5Violet5,123,125,85,87,86,88,0.416,0.419,0.285,0.294,0.291,0.295
Gray25Pink7Violet5,101,103,67,69,68,70,0.421,0.433,0.282,0.288,0.286,0.292
Gray25Pink7Violet5,106,108,71,73,75,77,0.414,0.425,0.28,0.285,0.295,0.301
Gray25Pink6Violet5,111,113,76,78,80,82,0.41,0.42,0.283,0.288,0.297,0.303
Gray8Pink5Violet5,123,125,92,94,99,101,0.387,0.396,0.291,0.296,0.313,0.318
Gray8Pink5Violet6,116,118,83,85,90,92,0.4,0.401,0.287,0.288,0.311,0.312
Gray8Pink5Violet5,121,123,86,88,93,95,0.402,0.403,0.287,0.288,0.3,0.31
Gray8Pink5Violet5,126,128,90,92,99,101,0.399,0.4,0.286,0.287,0.314,0.315
Gray16Pink2Violet1,121,123,83,85,80,82,0.42,0.43,0.29,0.295,0.28,0.285
Gray14Pink4Violet1,101,103,67,69,59,61,0.442,0.445,0.295,0.296,0.26,0.262
Gray15Pink2Violet1,128,130,91,93,89,91,0.414,0.416,0.295,0.296,0.289,0.29
Gray6Pink6Violet6,107,109,56,58,61,63,0.469,0.482,0.248,0.254,0.27,0.276
Gray8Pink3Violet1,188,190,159,161,156,158,0.373,0.374,0.316,0.316,0.31,0.31
Gray12Pink3Violet1,153,155,116,118,114,116,0.398,0.399,0.303,0.303,0.298,0.298
Gray12Pink3Violet1,173,175,146,148,144,146,0.373,0.37,0.315,0.316,0.311,0.311
Brown3,254,255,183,198,140,143,0.427,0.441,0.317,0.333,0.24,0.242
Brown3,254,255,204,212,150,159,0.407,0.418,0.336,0.34,0.247,0.254
Brown2,254,255,215,221,158,162,0.4,0.405,0.342,0.346,0.25,0.254
Brown2,254,255,220,231,165,173,0.387,0.397,0.344,0.351,0.258,0.263
Brown4,246,255,173,184,124,131,0.447,0.453,0.318,0.323,0.228,0.232
Gray2Brown4,232,236,168,170,127,130,0.438,0.44,0.317,0.319,0.241,0.245
Gray16Brown1,137,144,109,114,99,109,0.392,0.397,0.308,0.316,0.287,0.3
Gray15Brown1,142,146,117,122,113,119,0.377,0.382,0.311,0.315,0.304,0.309
Gray6Brown5,203,207,172,180,141,154,0.38,0.393,0.331,0.334,0.273,0.288
Gray6Brown3,214,221,195,200,173,181,0.363,0.371,0.331,0.336,0.295,0.303
Gray6Brown5,198,202,166,169,149,152,0.386,0.387,0.323,0.324,0.29,0.291
Gray4Brown12,128,134,78,84,34,44,0.502,0.537,0.316,0.326,0.14,0.173
Gray5Brown11,140,150,87,96,44,54,0.497,0.518,0.318,0.331,0.162,0.181
Gray5Brown10,148,157,99,108,57,65,0.473,0.485,0.32,0.331,0.183,0.198
Gray6Brown9,160,168,107,118,68,78,0.462,0.478,0.319,0.324,0.203,0.214
Gray5Brown7,201,208,137,142,99,103,0.457,0.462,0.31,0.315,0.226,0.228
Gray3Brown5,218,227,150,159,111,120,0.449,0.456,0.313,0.314,0.231,0.237
Gray6Brown7,178,188,145,154,110,117,0.41,0.412,0.334,0.336,0.253,0.256
Gray7Brown9,151,159,118,125,83,92,0.42,0.431,0.332,0.336,0.232,0.246
Gray6Brown6,184,194,151,161,118,128,0.399,0.408,0.33,0.335,0.26,0.269
Gray5Brown9,167,176,104,113,67,78,0.479,0.504,0.297,0.308,0.194,0.217
Gray6Brown4,211,216,180,185,160,165,0.382,0.383,0.327,0.327,0.29,0.292
Gray6Brown8,173,181,112,120,79,86,0.468,0.48,0.308,0.312,0.211,0.222
Gray6Brown14,78,82,51,54,39,42,0.46,0.467,0.299,0.307,0.23,0.237
Gray6Brown7,183,186,133,135,101,103,0.439,0.439,0.318,0.319,0.242,0.243
Gray6Brown8,172,177,121,124,88,90,0.45,0.453,0.317,0.319,0.23,0.231
Gray6Brown8,180,187,127,133,92,99,0.446,0.451,0.317,0.318,0.23,0.236
Gray7Brown6,176,180,148,152,129,136,0.385,0.389,0.323,0.329,0.285,0.291
Gray7Brown6,181,182,157,160,138,138,0.379,0.382,0.329,0.333,0.288,0.29
